symbol,name,sector,industry
APP,AppLovin,Communication Services,Advertising
CHTR,Charter Communications,Communication Services,Cable & Satellite
CMCSA,Comcast,Communication Services,Cable & Satellite
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services
FOX,Fox Corporation (Class B),Communication Services,Broadcasting
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
META,Meta Platforms,Communication Services,Interactive Media & Services
NFLX,Netflix,Communication Services,Movies & Entertainment
NWS,News Corp (Class B),Communication Services,Publishing
NWSA,News Corp (Class A),Communication Services,Publishing
OMC,Omnicom Group,Communication Services,Advertising
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
RDDT,Reddit,Communication Services,Interactive Media & Services
T,AT&T,Communication Services,Integrated Telecommunication Services
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
VZ,Verizon,Communication Services,Integrated Telecommunication Services
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AMZN,Amazon,Consumer Discretionary,Broadline Retail
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
AZO,AutoZone,Consumer Discretionary,Automotive Retail
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CVNA,Carvana,Consumer Discretionary,Automotive Retail
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services
DECK,Deckers Brands,Consumer Discretionary,Footwear
DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DPZ,Domino's,Consumer Discretionary,Restaurants
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
HAS,Hasbro,Consumer Discretionary,Leisure Products
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
LEN,Lennar,Consumer Discretionary,Homebuilding
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MCD,McDonald's,Consumer Discretionary,Restaurants
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail
PHM,PulteGroup,Consumer Discretionary,Homebuilding
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
SBUX,Starbucks,Consumer Discretionary,Restaurants
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
